A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,Coef.BrainpH,Coef.RNADegradPerSample,Coef.RateofDeathFactorOn respirator,Coef.RateofDeathFactorPossible anoxia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,t.BrainpH,t.RNADegradPerSample,t.RateofDeathFactorOn respirator,t.RateofDeathFactorPossible anoxia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.BrainpH,p.value.RNADegradPerSample,p.value.RateofDeathFactorOn respirator,p.value.RateofDeathFactorPossible anoxia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,p.value.adj.BrainpH,p.value.adj.RNADegradPerSample,p.value.adj.RateofDeathFactorOn respirator,p.value.adj.RateofDeathFactorPossible anoxia,F,F.p.value
4.496008247,7.928097387,0.076635119,0.008275682,-0.1804276,-0.287311915,-1.974925923,0.06281447,0.232637552,5.093915926,0.56980862,0.063353199,-1.44037501,-1.245492941,-3.186915185,0.342036061,1.015017016,6.03E-06,0.571503601,0.949752183,0.156346988,0.219084191,0.002548232,0.733838608,0.315260898,1.02E-05,0.999843863,0.999951772,0.991234928,0.455037385,0.014335479,0.999396546,0.73494982,1217.534339,4.63E-52
6.437080499,3.541372497,0.147421104,0.11865383,0.122827779,0.31255068,1.036324855,-0.056066688,0.137928518,3.076862755,1.482226447,1.228288037,1.325937098,1.832153259,2.261358028,-0.412829587,0.813769281,0.003473285,0.144911112,0.225414645,0.19122726,0.07322763,0.028374286,0.681596566,0.419854269,0.004082483,0.999843863,0.999951772,0.991234928,0.247302315,0.070902548,0.999396546,0.801801478,4554.828224,1.42E-65
3.518352996,3.988055052,-0.02938847,0.064694216,0.057912034,-0.034527122,-0.363738889,0.054061841,0.321496008,4.844079645,-0.413090775,0.936262288,0.87399461,-0.28295368,-1.109626358,0.556506655,2.651773478,1.41E-05,0.681406523,0.353893203,0.386536412,0.778446788,0.272768775,0.580487613,0.010861742,2.23E-05,0.999843863,0.999951772,0.991234928,0.889428285,0.382493571,0.999396546,0.205030364,2660.43046,4.63E-60
3.200165645,2.678525072,0.008153736,-0.078674244,0.036734435,0.145525505,-0.475290286,0.025984238,0.255183245,2.761106722,0.097266324,-0.966277804,0.470490271,1.01211865,-1.230504806,0.227000524,1.786283311,0.008173859,0.922925815,0.338819092,0.640166795,0.316630018,0.22459151,0.821401423,0.080462943,0.009278464,0.999843863,0.999951772,0.991234928,0.560791898,0.328196235,0.999396546,0.437962206,1585.319673,9.27E-55
4.605713044,3.167714983,-0.091798812,-0.249874406,-0.125106972,0.187644109,0.443701404,0.22304788,-0.100998273,2.271220246,-0.761673062,-2.134601801,-1.11451129,0.907722129,0.798989099,1.355316265,-0.491742572,0.027724979,0.450035689,0.038003667,0.270690012,0.368625867,0.428289978,0.181752737,0.625175337,0.03007056,0.999843863,0.999951772,0.991234928,0.613611016,0.540469906,0.999396546,0.889780561,1588.644989,8.82E-55
8.604371719,9.463315928,-0.165249378,-0.039593073,-0.00902115,-0.172187277,0.302448513,0.043002407,0.070445312,10.56443018,-2.134818491,-0.526627934,-0.125127985,-1.296906402,0.847990702,0.40684118,0.534029863,4.87E-14,0.037985013,0.60091262,0.900952443,0.200953222,0.400713269,0.685959492,0.59582153,4.69E-13,0.999843863,0.999951772,0.999083706,0.433489152,0.51341659,0.999396546,0.878291934,13432.08847,1.13E-76
8.65422475,4.007540624,-0.034619808,-0.032295463,0.077413272,0.503901649,1.819525636,0.085256648,-0.090410341,3.570269908,-0.356916112,-0.342804553,0.856896455,3.028821871,4.071160212,0.64369594,-0.546955422,0.000831127,0.722741765,0.733264071,0.395822098,0.00396896,0.000176694,0.522881055,0.586980253,0.001043914,0.999843863,0.999951772,0.991234928,0.045233171,0.003521733,0.999396546,0.874284645,8657.417439,3.65E-72
2.881269732,2.967301248,0.030452019,-0.024048491,-0.014078139,0.038392441,-0.397787453,0.004588517,0.118381379,4.790673453,0.568943857,-0.462599024,-0.282403447,0.418201408,-1.612957441,0.062782224,1.297863539,1.68E-05,0.572085574,0.645772579,0.778866052,0.677692184,0.113405543,0.950204435,0.200626728,2.64E-05,0.999843863,0.999951772,0.994145966,0.839546976,0.196381288,0.999396546,0.622440943,3150.911171,8.55E-62
5.830670759,4.910789282,0.10593185,0.192482927,0.167130524,0.038034672,0.730279414,-0.22377502,-0.219522365,4.332280185,1.081459291,2.023202697,1.83193821,0.226386094,1.618047228,-1.673039673,-1.315087705,7.64E-05,0.284974905,0.04872297,0.073260225,0.821876462,0.112301354,0.100920607,0.194819396,0.000109439,0.999843863,0.999951772,0.97241902,0.915079737,0.195061726,0.999396546,0.618203167,3853.43763,7.38E-64
8.086996831,8.481890115,-0.051843793,0.009902274,0.029448044,-0.030825569,-0.231074335,-0.080715933,-0.062047338,12.40608067,-0.877520175,0.172567437,0.535165644,-0.304199082,-0.848849252,-1.000531187,-0.616276801,1.76E-16,0.384638937,0.863727615,0.595042132,0.762310297,0.400240114,0.322143834,0.540666076,3.55E-15,0.999843863,0.999951772,0.991234928,0.882550142,0.513265329,0.999396546,0.854066112,20367.17877,6.00E-81
