A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,F,F.p.value
4.232897606,4.276288159,-0.060855309,-0.099514994,-0.031188792,85.55390483,-0.791919459,-1.295003868,-0.425171446,1.21E-56,0.432085226,0.201165956,0.672504984,1.96E-56,0.999931612,0.999572313,0.999980583,5976.859937,2.73E-67
2.6124689,2.611319632,0.086689116,-0.034907765,-0.039394729,57.70702184,1.246071236,-0.501764969,-0.593197626,4.94E-48,0.21844669,0.617997793,0.555677342,5.46E-48,0.999931612,0.999572313,0.999980583,2778.472471,7.40E-59
4.891802864,4.935996545,-0.024822148,-0.077440378,-0.083445864,115.2487465,-0.376973134,-1.176084424,-1.327574302,3.43E-63,0.707761675,0.245036025,0.190246105,9.49E-63,0.999931612,0.999572313,0.999980583,10871.84344,6.90E-74
8.573519099,8.514918286,0.138347114,0.003588683,0.105288223,126.161466,1.33329428,0.034585254,1.062964345,3.50E-65,0.188375654,0.972545821,0.292818487,1.20E-64,0.999931612,0.999572313,0.999980583,13447.796,3.11E-76
10.27365889,10.28125235,-0.060748037,0.041464268,-0.012888592,192.8767455,-0.741268885,0.505961558,-0.164752489,1.54E-74,0.461938994,0.615069403,0.869791769,2.53E-73,0.999931612,0.999572313,0.999980583,30955.76748,1.95E-85
7.885598682,7.883999068,-0.072059826,-0.015611253,0.080335582,181.6055721,-1.079656205,-0.233899894,1.260907453,3.27E-73,0.285388033,0.816001517,0.213094896,4.11E-72,0.999931612,0.999572313,0.999980583,27496.24322,3.96E-84
6.696536665,6.776156408,-0.270640263,-0.078777975,-0.010568198,110.1789143,-2.862313123,-0.833162176,-0.117086994,3.36E-62,0.006091781,0.408648331,0.907252198,8.39E-62,0.999931612,0.999572313,0.999980583,9882.288895,7.79E-73
3.979196214,3.94681637,0.053243144,0.024447433,0.058799683,53.39408328,0.468510766,0.21512414,0.542018189,2.41E-46,0.641420928,0.830530724,0.590172562,2.58E-46,0.999931612,0.999572313,0.999980583,2415.007599,2.57E-57
5.10364497,5.112002089,0.010123714,-0.030701884,-0.014730468,75.15794655,0.096812938,-0.293601712,-0.147568305,8.40E-54,0.923255389,0.770256867,0.883266845,1.14E-53,0.999931612,0.999572313,0.999980583,4691.924782,1.27E-64
3.830470964,3.794249293,0.073554889,0.011673174,0.067198067,96.36561538,1.215115196,0.192838992,1.162908865,2.96E-59,0.229932228,0.847852942,0.250293051,5.73E-59,0.999931612,0.999572313,0.999980583,7887.649639,2.39E-70
4.548254588,4.523019313,0.036178904,0.012188467,0.056132511,91.92988302,0.478292246,0.161133939,0.77738364,3.21E-58,0.634491512,0.872626181,0.44053298,5.76E-58,0.999931612,0.999572313,0.999980583,7121.56394,3.20E-69
5.173667324,5.178379754,-0.069289497,0.010786987,0.031377394,136.9406619,-1.191833538,0.185544605,0.565389912,5.47E-67,0.238857407,0.853539784,0.574294046,2.33E-66,0.999931612,0.999572313,0.999980583,15599.62473,7.15E-78
8.409176653,8.41784506,0.024020965,-0.020350143,-0.036446106,181.3868883,0.336670517,-0.285221387,-0.535117013,3.48E-73,0.737750349,0.776632673,0.594900675,4.33E-72,0.999931612,0.999572313,0.999980583,27361.41984,4.49E-84
6.507035515,6.45435448,0.018536866,0.094494015,0.106977851,133.3178091,0.24904701,1.269548589,1.505642562,2.13E-66,0.80432728,0.210023068,0.138343863,8.47E-66,0.999931612,0.999572313,0.999980583,15054.93185,1.76E-77
7.588944396,7.62117758,-0.133847646,0.023402063,-0.030519832,125.0649344,-1.428676441,0.249791295,-0.34126227,5.45E-65,0.159209303,0.803754775,0.734311823,1.83E-64,0.999931612,0.999572313,0.999980583,12925.07503,8.51E-76
8.782815194,8.839155286,-0.014560498,-0.131591698,-0.09302542,216.238434,-0.231690386,-2.093920964,-1.550659424,4.61E-77,0.817708025,0.041269928,0.127183295,1.39E-75,0.999931612,0.999572313,0.999980583,38472.1979,7.75E-88
10.18772814,10.228687,-0.182864463,-0.050056409,0.039552814,143.9194931,-1.673550084,-0.458109278,0.379201262,4.39E-68,0.100358499,0.648825013,0.706116777,2.17E-67,0.999931612,0.999572313,0.999980583,17123.82112,6.69E-79
5.766177447,5.773103195,0.057109401,-0.039798437,-0.041285231,100.6244444,0.647457777,-0.451200803,-0.490322196,3.32E-60,0.520247193,0.653762555,0.6260143,6.91E-60,0.999931612,0.999572313,0.999980583,8417.869627,4.58E-71
7.908089376,7.921628168,-0.023265951,0.02717265,-0.055377943,175.0329709,-0.334376613,0.390523409,-0.833748171,2.13E-72,0.739470166,0.697780267,0.40832104,2.27E-71,0.999931612,0.999572313,0.999980583,25443.6219,2.85E-83
3.717937574,3.80662793,0.006427236,-0.101051498,-0.261050071,63.79405217,0.070060568,-1.10151949,-2.980960595,3.22E-50,0.944420162,0.27585554,0.004399902,3.77E-50,0.999931612,0.999572313,0.999980583,3238.043657,1.53E-60
7.116438106,7.118579747,0.004111877,-0.061450346,0.040280085,132.4118846,0.049748891,-0.743477124,0.510524579,3.01E-66,0.960517327,0.460613183,0.611892467,1.18E-65,0.999931612,0.999572313,0.999980583,14602.32687,3.83E-77
4.426150034,4.364969166,0.104667714,0.032728792,0.119052449,78.23290353,1.220199032,0.381546885,1.45391582,1.11E-54,0.228016209,0.704386667,0.15211213,1.59E-54,0.999931612,0.999572313,0.999980583,5244.99306,7.51E-66
6.921639219,6.946904793,-0.059623213,-0.045764574,-0.008001002,162.4977438,-0.907154035,-0.696297894,-0.127524324,9.25E-71,0.368602847,0.489411849,0.899028226,7.04E-70,0.999931612,0.999572313,0.999980583,21845.11215,1.37E-81
4.109803581,4.115208741,-0.041130703,0.023882299,-0.006194274,59.21865179,-0.384983796,0.223538555,-0.060736489,1.35E-48,0.701854475,0.824011709,0.951807077,1.51E-48,0.999931612,0.999572313,0.999980583,2914.784694,2.20E-59
5.619818559,5.657733579,-0.030887835,-0.116861264,-0.020808533,78.41757644,-0.278463359,-1.053540341,-0.196519224,9.87E-55,0.781785558,0.2970722,0.844986837,1.42E-54,0.999931612,0.999572313,0.999980583,5056.280619,1.90E-65
7.172394144,7.191247627,-0.077820403,0.018006226,-0.021901402,103.1740701,-0.726222105,0.168034583,-0.214107016,9.34E-61,0.471031162,0.867222391,0.831319558,2.03E-60,0.999931612,0.999572313,0.999980583,8824.489479,1.38E-71
7.408251604,7.466380276,-0.06093529,-0.080336943,-0.104033771,151.5544591,-0.804520591,-1.060678053,-1.438883443,3.19E-69,0.42484063,0.293846562,0.156308673,1.88E-68,0.999931612,0.999572313,0.999980583,18844.32812,5.87E-80
8.515494468,8.596387459,-0.140889103,-0.107286892,-0.101131815,80.45759727,-0.857705412,-0.653141696,-0.644958156,2.70E-55,0.395078408,0.516606318,0.521852645,4.02E-55,0.999931612,0.999572313,0.999980583,5293.692444,5.94E-66
6.757297752,6.765305336,-0.046398361,0.022153261,-0.010283314,133.1371181,-0.593914672,0.28356921,-0.1378915,2.28E-66,0.555201333,0.777891506,0.890870568,9.03E-66,0.999931612,0.999572313,0.999980583,14736.47286,3.04E-77
7.803564186,7.805952242,-0.092944594,0.080072611,0.001706848,74.21894375,-0.57480784,0.495202168,0.011057994,1.58E-53,0.56795497,0.622589875,0.991220433,2.12E-53,0.999931612,0.999572313,0.999980583,4587.817195,2.24E-64
