"","ProbesetID","EntrezGeneID","GeneSymbol"
"257","100216545_at","100216545","KMT2E-AS1"
"258","100216546_at","100216546","LINC01004"
"259","10022_at","10022","INSL5"
"260","10023_at","10023","FRAT1"
"261","10024_at","10024","TROAP"
"262","100240728_at","100240728","LOC100240728"
"263","10025_at","10025","MED16"
"264","10026_at","10026","PIGK"
"265","100268168_at","100268168","LOC100268168"
"266","100270679_at","100270679","LINC01432"
"267","100270804_at","100270804","LINC00653"
"268","100270972_at","100270972","RPL29P7"
"269","100271043_at","100271043","RPL7AP29"
"270","100271285_at","100271285","RPL18AP10"
"271","100271291_at","100271291","RPL23AP22"
"272","100271399_at","100271399","RPL7AP71"
"273","100271722_at","100271722","LINC00899"
"274","100272147_at","100272147","CMC4"
"275","100272217_at","100272217","LOC100272217"
"276","100272228_at","100272228","LINC00894"
"277","100286844_at","100286844","BCDIN3D-AS1"
"278","100286922_at","100286922","LOC100286922"
"279","100286925_at","100286925","LOC100286925"
"280","100286938_at","100286938","VPS13A-AS1"
"281","100287015_at","100287015","LOC100287015"
"282","100287098_at","100287098","TONSL-AS1"
"283","100287114_at","100287114","LINC00421"
"284","100287177_at","100287177","EML2-AS1"
"285","100287216_at","100287216","SH3RF3-AS1"
"286","100287227_at","100287227","TIPARP-AS1"
"287","100287290_at","100287290","LOC100287290"
"288","100287366_at","100287366","OSTM1-AS1"
"289","100287387_at","100287387","LOC100287387"
"290","100287467_at","100287467","LOC100287467"
"291","100287482_at","100287482","SMKR1"
"292","100287569_at","100287569","LINC00173"
"293","100287616_at","100287616","LOXL1-AS1"
"294","100287765_at","100287765","LINC00630"
"295","100287808_at","100287808","LOC100287808"
"296","100287814_at","100287814","LINC00582"
"297","100287896_at","100287896","LOC100287896"
"298","100287902_at","100287902","LGALS8-AS1"
"299","100287932_at","100287932","TIMM23"
"300","100288079_at","100288079","GS1-279B7.1"
"301","100288122_at","100288122","LDLRAD4-AS1"
"302","100288123_at","100288123","LOC100288123"
"303","100288152_at","100288152","SLC9A3-AS1"
"304","100288198_at","100288198","HMGN3-AS1"
"305","100288413_at","100288413","ERVMER34-1"
