,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
3661,-0.032044226,0.041848118,0.443838865,0.813301067,3685,ITGAV
4480,-0.081847971,0.106971345,0.444188654,0.813609998,4958,OMD
6087,0.034568911,0.045186536,0.444255583,0.813609998,6635,SNRPE
6995,0.043444619,0.056800415,0.444352259,0.813609998,816,CAMK2B
2251,0.022014985,0.02879018,0.444468116,0.813609998,23339,VPS39
1330,-0.112128016,0.146643483,0.444491864,0.813609998,161291,TMEM30B
7202,-0.028996704,0.037973832,0.445107446,0.814559235,84765,ZNF577
2356,0.031800358,0.041670165,0.445377217,0.814735331,23510,KCTD2
4942,-0.026692439,0.034982695,0.445452435,0.814735331,5426,POLE
5514,0.031858528,0.041757171,0.445494718,0.814735331,58517,RBM25
2544,-0.04156358,0.054509246,0.445758584,0.815040407,25786,DGCR11
572,0.152352167,0.199893941,0.445961528,0.815233981,10769,PLK2
1609,-0.07161022,0.094028781,0.446312107,0.815697296,2014,EMP3
5862,-0.019399341,0.02548877,0.446601153,0.815850431,6415,SELENOW
4481,-0.03632244,0.047738254,0.446736785,0.815850431,496,ATP4B
3111,-0.025622211,0.033675457,0.446742424,0.815850431,2901,GRIK5
3330,0.033549524,0.044100502,0.446805497,0.815850431,3169,FOXA1
7033,0.05312588,0.069849235,0.44690841,0.815850431,8224,SYN3
142,-0.036413625,0.047883589,0.446978785,0.815850431,1017,CDK2
8156,0.030174698,0.03968968,0.447095846,0.815886769,9750,RIPOR2
8373,0.061258015,0.080630434,0.447411131,0.816213932,AFFX-hum_alu,NA
5853,-0.021915159,0.028849382,0.44746951,0.816213932,6407,SEMG2
2297,0.040362245,0.053172551,0.447804421,0.816366689,23395,LARS2
163,0.024068177,0.031708229,0.447821777,0.816366689,10200,MPHOSPH6
4871,0.098940518,0.130365443,0.447884003,0.816366689,5332,PLCB4
5879,0.102231308,0.134718671,0.447942094,0.816366689,643314,KIAA0754
5306,0.033948919,0.044755408,0.448125751,0.816414815,5691,PSMB3
