A,Coef.(Intercept),Coef.DiagnosisFactorScz,Coef.BrainpH,t.(Intercept),t.DiagnosisFactorScz,t.BrainpH,p.value.(Intercept),p.value.DiagnosisFactorScz,p.value.BrainpH,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorScz,p.value.adj.BrainpH,F,F.p.value
5.113507595,5.680253856,-0.077017804,-0.083284111,8.149493359,-1.192574485,-0.777849307,1.02E-10,0.238697708,0.440344407,1.17E-10,0.560514259,0.618821461,12650.57808,1.23E-71
7.597768074,7.618753095,0.007200058,-0.003928467,13.99399888,0.142733346,-0.04697334,7.20E-19,0.88707776,0.962722686,1.61E-18,0.958099534,0.978729724,45773.96243,1.66E-85
4.587004514,4.39466495,-0.008255218,0.031154733,10.99386196,-0.22288691,0.507363233,6.51E-15,0.824536859,0.614143617,9.35E-15,0.928160717,0.75666385,30948.59045,2.77E-81
4.207603558,4.395082872,-0.015770223,-0.028366065,20.40177875,-0.790078639,-0.857177007,8.29E-26,0.43323474,0.39546079,9.25E-25,0.713279576,0.578142012,89660.95924,9.20E-93
6.057351086,6.153906461,0.015751251,-0.01661521,12.53997016,0.346411402,-0.220405228,5.16E-17,0.730495605,0.826458291,9.07E-17,0.882994547,0.897810055,35808.71304,7.39E-83
7.058757505,7.107049152,-0.026691424,-0.005405022,14.6208063,-0.59263223,-0.072385219,1.24E-19,0.556113757,0.942585813,3.13E-19,0.792585327,0.968722634,49562.39822,2.30E-86
7.340455669,8.463152978,-0.069736526,-0.171942529,16.91092438,-1.503927776,-2.236603075,2.94E-22,0.138927329,0.029829621,1.25E-21,0.44851502,0.106330185,50566.31271,1.40E-86
6.229132449,7.02798399,-0.029115192,-0.124068295,12.49359179,-0.558608737,-1.435779717,5.93E-17,0.578936506,0.157328188,1.04E-16,0.805285427,0.321303883,28821.03557,1.62E-80
4.762683006,4.999739089,-0.021086794,-0.035770819,13.50715778,-0.614835171,-0.629094613,2.92E-18,0.541467913,0.532167613,6.03E-18,0.784031092,0.696483401,38910.68423,9.38E-84
4.590515429,4.996694016,-0.015875297,-0.062992867,15.10897325,-0.518090443,-1.239978124,3.25E-20,0.606693538,0.220805002,9.15E-20,0.820088393,0.400575217,45285.88258,2.16E-85
8.595757084,8.698779799,-0.014846797,-0.015068185,17.36562026,-0.319886758,-0.195822841,9.47E-23,0.750394821,0.845547129,4.48E-22,0.893180989,0.909228857,69209.04171,5.73E-90
8.226266049,9.223947762,-0.061043209,-0.15287421,15.19818757,-1.085535015,-1.639757559,2.55E-20,0.282921139,0.107369581,7.33E-20,0.599234132,0.249909003,43181.2258,7.05E-85
5.05990842,5.118712672,-0.023694849,-0.007321727,11.41541365,-0.570317069,-0.106295497,1.69E-15,0.571031618,0.915775712,2.55E-15,0.800616303,0.952481364,29928.12338,6.37E-81
4.820569457,5.519752932,-0.019289811,-0.109109422,10.58626874,-0.399284797,-1.362247383,2.45E-14,0.691393673,0.179260729,3.37E-14,0.864349424,0.349585811,20090.40556,1.27E-76
5.852299347,6.592824736,-0.064164074,-0.111885838,14.01066709,-1.471671005,-1.547864185,6.86E-19,0.147412651,0.127998494,1.54E-18,0.459682572,0.280611264,36355.45416,5.07E-83
8.24445698,10.38581681,-0.137548688,-0.327570672,12.51764934,-1.789246157,-2.570144766,5.52E-17,0.079668515,0.013210411,9.68E-17,0.365154783,0.062019085,23209.23496,3.52E-78
6.15168518,6.621803997,-0.027733654,-0.072122647,8.841200089,-0.399644191,-0.626869309,9.00E-12,0.691130625,0.533613495,1.07E-11,0.864315348,0.697615697,15855.94143,4.53E-74
6.904845807,6.775628872,-0.040795679,0.023892429,10.05221906,-0.653217804,0.230750731,1.44E-13,0.51662592,0.818455533,1.88E-13,0.768869774,0.893082524,24664.30383,7.77E-79
5.264367914,3.742750581,0.052149965,0.236597771,5.309783932,0.798493721,2.18507859,2.56E-06,0.428382511,0.033624414,2.68E-06,0.709826317,0.115388637,13111.46466,5.07E-72
8.023696589,9.014629337,-0.093022783,-0.14911801,24.96017699,-2.779845326,-2.687820965,8.85E-30,0.007658303,0.009757846,4.33E-28,0.204761657,0.05005645,116008.7676,1.53E-95
5.352884458,5.686683052,-0.046700825,-0.048939592,15.4182728,-1.366572807,-0.86378865,1.41E-20,0.177908835,0.391852862,4.25E-20,0.49682121,0.575134336,49506.82263,2.36E-86
7.901033,6.491519478,0.150939951,0.210542094,10.25236392,2.572843518,2.164646772,7.39E-14,0.01312011,0.035243278,9.82E-14,0.220525831,0.118984663,36600.10674,4.29E-83
5.204326385,4.953610269,0.014500589,0.038487635,13.44463857,0.424760826,0.680015759,3.50E-18,0.67284397,0.499649289,7.17E-18,0.855109112,0.67020281,46893.80829,9.09E-86
5.838892107,5.995704416,-0.045209884,-0.021035379,10.60828922,-0.863316507,-0.242284663,2.28E-14,0.392109823,0.809556427,3.14E-14,0.686881695,0.887771608,25084.55999,5.11E-79
7.293698139,7.8278899,0.035046802,-0.087545615,8.663867879,0.418646075,-0.63077135,1.67E-11,0.677278133,0.531079512,1.97E-11,0.857121772,0.695745476,15316.96632,1.07E-73
6.250586202,6.787327673,0.002327655,-0.085199907,8.002473283,0.029619349,-0.653935608,1.72E-10,0.976489233,0.516167204,1.96E-10,0.99104075,0.683004113,12765.28368,9.85E-72
6.686964639,7.342501988,-0.029956395,-0.101300788,14.00243138,-0.616567235,-1.257600366,7.03E-19,0.540333778,0.214412356,1.58E-18,0.783491651,0.393275475,38221.99095,1.46E-83
5.97723601,5.525754927,0.030667706,0.068924411,10.45121494,0.626019659,0.848630574,3.83E-14,0.534166091,0.400155059,5.19E-14,0.778998191,0.582090364,30038.97831,5.81E-81
11.06651981,10.89153185,0.035791498,0.024705336,13.37251568,0.474280793,0.197462832,4.32E-18,0.637376495,0.844270587,8.75E-18,0.835623212,0.908364991,43391.19797,6.25E-85
5.732200091,5.667629756,0.004778991,0.009824475,10.69540752,0.097333776,0.120691221,1.72E-14,0.922852724,0.90442213,2.38E-14,0.973147583,0.945633255,27502.04095,5.20E-80
6.327711561,6.635262611,-0.031547031,-0.046056169,17.0718835,-0.876018607,-0.77140346,1.96E-22,0.385233509,0.444119365,8.65E-22,0.682261878,0.622157063,62297.7623,7.82E-89
6.141805959,7.210995386,-0.067948679,-0.163618669,9.539490578,-0.970158069,-1.409072285,8.13E-13,0.33666468,0.165038841,1.02E-12,0.646439254,0.331734569,15516.77255,7.74E-74
5.706506538,6.183836253,-0.04739958,-0.071612046,7.490345263,-0.619654872,-0.564677375,1.06E-09,0.538315071,0.57483265,1.19E-09,0.782397721,0.728621503,11229.60669,2.37E-70
