"","Iwamoto_BipolarEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_BipolarSamplingVariance","GeneSymbol"
"156",0.084168693,"10184","LHFPL2",0.011557538893824,"LHFPL2"
"157",-0.114939599,"10188","TNK2",0.00377808229720304,"TNK2"
"158",-0.039974556,"1019","CDK4",0.00330447660911504,"CDK4"
"159",0.092721022,"10190","TXNDC9",0.00637689972512547,"TXNDC9"
"160",0.02386086,"101927446","LOC101927446",0.00541446165668061,"LOC101927446"
"161",0.073319517,"101928062","CNOT2-DT",0.0182103204627901,"CNOT2-DT"
"162",0.046849303,"101928378","PTOV1-AS2",0.00759897520577961,"PTOV1-AS2"
"163",0.055219838,"101929524","LOC101929524",0.00676855672188426,"LOC101929524"
"164",-0.023087509,"10193","RNF41",0.00984559089671641,"RNF41"
"165",-0.050424282,"10195","ALG3",0.00331496599250343,"ALG3"
"166",-0.005608523,"10196","PRMT3",0.00703442345459656,"PRMT3"
"167",0.003893528,"10197","PSME3",0.00333062520725352,"PSME3"
"168",0.017406841,"10198","MPHOSPH9",0.00301450935578607,"MPHOSPH9"
"169",0.067789423,"10199","MPHOSPH10",0.0033123977571569,"MPHOSPH10"
"170",-0.048060711,"102","ADAM10",0.0032188224722438,"ADAM10"
"171",-0.065529125,"1020","CDK5",0.0117696751769863,"CDK5"
"172",0.051811896,"10200","MPHOSPH6",0.00601683458464323,"MPHOSPH6"
"173",-0.045072628,"10201","NME6",0.00530210610633565,"NME6"
"174",0.01866502,"10202","DHRS2",0.00444020332799638,"DHRS2"
"175",-0.018793559,"10203","CALCRL",0.00796146976723678,"CALCRL"
"176",0.11010551,"10204","NUTF2",0.0089445359882984,"NUTF2"
"177",-0.038366099,"10205","MPZL2",0.0044098318743678,"MPZL2"
"178",0.161866089,"10206","TRIM13",0.0115905202299502,"TRIM13"
"179",0.06670581,"10208","USPL1",0.00365541440235324,"USPL1"
"180",0.205640168,"10209","EIF1",0.0114509912471881,"EIF1"
"181",-0.06037992,"1021","CDK6",0.00370492980740451,"CDK6"
"182",0.123403516,"10210","TOPORS",0.00950119711642415,"TOPORS"
"183",-0.05642572,"10211","FLOT1",0.00313478477615858,"FLOT1"
"184",-0.022931262,"10212","DDX39A",0.0136084971063325,"DDX39A"
"185",0.037737337,"10213","PSMD14",0.0130969866867123,"PSMD14"
"186",0.110337729,"10214","SSX3",0.0160188595317461,"SSX3"
"187",-0.110733646,"10215","OLIG2",0.0351506325889402,"OLIG2"
