"","Maycox_SchizSamplingVariance","EntrezGeneID","GeneSymbol","Iwamoto_SchizSamplingVariance","GeneSymbol"
"376",0.0147481018258224,"10049","DNAJB6",0.00372814363398362,"DNAJB6"
"377",0.00367269518165645,"100498859","LINC00881",NA,NA
"378",0.0017438083637986,"100499171","LINC00276",NA,NA
"379",0.0128564042060341,"100499177","THAP9-AS1",0.00600592934275033,"THAP9-AS1"
"380",0.00214200423682083,"100499194","LOC100499194",NA,NA
"381",0.00208088842207278,"100499466","LINC00674",NA,NA
"382",0.00156780028138577,"100499467","LINC00673",NA,NA
"383",0.00142026611575632,"100499489","LOC100499489",NA,NA
"384",0.00106583613467578,"1005","CDH7",NA,NA
"385",0.00455189726080616,"10050","SLC17A4",0.00470029830027962,"SLC17A4"
"386",0.0121403829970644,"100500850","MIR3682",NA,NA
"387",0.00206990279340423,"100500934","LOC100500934",NA,NA
"388",0.00249617295774359,"100505474","LINC01539",NA,NA
"389",0.0221386683353549,"100505478","TEX48",NA,NA
"390",0.00611413836604111,"100505483","PRKAG2-AS1",NA,NA
"391",0.00239015670480582,"100505495","PCAT19",NA,NA
"392",0.00234117388217924,"100505498","LOC100505498",NA,NA
"393",0.00506445840835352,"100505501","LOC100505501",NA,NA
"394",0.00207631408301433,"100505515","LINC01723",NA,NA
"395",0.0035537523092826,"100505518","EDNRB-AS1",NA,NA
"396",0.00108940504817357,"100505534","GPR176-DT",NA,NA
"397",0.00166921212835829,"100505536","ISM1-AS1",NA,NA
"398",0.0054176957342554,"100505538","RBM26-AS1",NA,NA
"399",0.00437322338698108,"100505540","SLIT1-AS1",NA,NA
"400",0.00583222929072215,"100505545","LINC01095",NA,NA
"401",0.00199457418027364,"100505547","LINC01208",NA,NA
"402",0.000992738094276531,"100505549","LOC100505549",NA,NA
"403",0.00264244459844428,"100505555","LOC100505555",NA,NA
"404",0.00458176259389818,"100505570","LINC02708",NA,NA
"405",0.00354301589154343,"100505573","INAFM2",NA,NA
"406",0.00566631225744696,"100505576","LINC00672",NA,NA
"407",0.00145144704251742,"100505583","LINC00838",NA,NA
"408",0.00209887509098505,"100505592","GAPLINC",NA,NA
"409",0.00137448100983166,"100505601","PARD3-AS1",NA,NA
"410",0.0011005181711205,"100505609","LINC02053",NA,NA
"411",0.00345781513138249,"100505616","SNHG21",NA,NA
"412",0.00197791446839924,"100505619","LINC00919",NA,NA
"413",0.00263447258813204,"100505621","C11orf72",NA,NA
"414",0.001926943030968,"100505622","LOC100505622",NA,NA
"415",0.00119988433200009,"100505624","GTF3C2-AS1",NA,NA
"416",0.00211332335383795,"100505633","LINC01133",NA,NA
"417",0.00505518669811868,"100505641","FGD5-AS1",NA,NA
"418",0.00240724474082644,"100505658","DIAPH1-AS1",NA,NA
"419",0.00898719085733206,"100505659","LINC00967",NA,NA
"420",0.00253314807586134,"100505664","LOC100505664",NA,NA
"421",0.00297004144818758,"100505666","DCST1-AS1",NA,NA
"422",0.000749144699299881,"100505676","RRS1-AS1",NA,NA
"423",0.00301613618220594,"100505681","NAPA-AS1",NA,NA
"424",0.00313468219800745,"100505683","LINC01431",NA,NA
"425",0.00258377021221229,"100505685","LOC100505685",NA,NA
"426",0.00482713904566623,"100505687","LINC00888",NA,NA
"427",0.00347558825410377,"100505696","SH3BP5-AS1",NA,NA
"428",0.0160639098372338,"100505702","LINC01094",NA,NA
"429",0.00374610215924129,"100505711","LOC100505711",NA,NA
"430",0.00679695006652662,"100505715","LOC100505715",NA,NA
"431",0.00185336631317875,"100505716","LOC100505716",NA,NA
"432",0.00128570104069319,"100505718","LINC01592",NA,NA
"433",0.00263429612997443,"100505728","LOC100505728",NA,NA
"434",0.00312669510510089,"100505738","MIR4458HG",NA,NA
"435",0.00115889454617036,"100505741","SPATA1",NA,NA
"436",0.00296276449791799,"100505746","ITGB2-AS1",NA,NA
"437",0.00213616172541556,"100505758","PRMT5-AS1",NA,NA
