"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizEffectSize","GeneSymbol"
"196",-0.037859613,"100132354","LINC01512",NA,NA
"197",0.008869922,"100132356","LOC100132356",NA,NA
"198",-0.029557119,"100132386","KRTAP4-9",NA,NA
"199",-0.216266205,"100132464","FAM99B",NA,NA
"200",0.033730824,"100132476","KRTAP4-7",NA,NA
"201",-0.090019767,"100132570","LOC100132570",NA,NA
"202",-0.084900873,"100132596","XGY2",NA,NA
"203",-0.091692798,"100132618","ZRANB2-AS1",NA,NA
"204",0.003868087,"100132677","BSN-DT",NA,NA
"205",-0.067134472,"100132686","LOC100132686",NA,NA
"206",-0.017105156,"100132707","PAXIP1-AS2",NA,NA
"207",0.00301846,"100132735","FILNC1",NA,NA
"208",0.059001941,"100132815","IPO5P1",NA,NA
"209",0.066891163,"100132891","MSC-AS1",NA,NA
"210",-0.024963873,"100132987","LINC00856",NA,NA
"211",-0.070417859,"100133190","ADIRF-AS1",NA,NA
"212",-0.018815708,"100133205","LINC00240",NA,NA
"213",-0.007481965,"100133308","RSU1P2",NA,NA
"214",-0.108659201,"100133311","HOXA-AS3",NA,NA
"215",-0.038381799,"100133319","PRO1804",NA,NA
"216",-0.051929137,"100133461","LINC02171",NA,NA
"217",-0.051775536,"100133612","LINC01134",NA,NA
"218",-0.010702385,"100133941","CD24",-0.125106972,"CD24"
"219",-0.074303912,"100133985","LINC01816",NA,NA
"220",-0.035001843,"100133991","MAP3K14-AS1",NA,NA
"221",-0.039930933,"100134229","KDM7A-DT",NA,NA
"222",-0.063162379,"100134259","LINC01119",NA,NA
"223",-0.005526461,"100134368","LOC100134368",NA,NA
"224",-0.076684858,"100134713","NDUFB2-AS1",NA,NA
"225",0.034721262,"100137047","JMJD7",NA,NA
"226",-0.066072532,"10014","HDAC5",-0.00902115,"HDAC5"
"227",-0.026079823,"100141515","C17orf99",NA,NA
"228",0.029100034,"100144596","LINC00029",NA,NA
"229",-0.028593674,"100144597","LINC01056",NA,NA
"230",-0.040428224,"100144602","EPHA5-AS1",NA,NA
"231",0.017677612,"100144603","CHKB-DT",NA,NA
"232",-0.059183605,"100144604","LINC00930",NA,NA
"233",-0.009730865,"100144748","KLLN",NA,NA
"234",-0.058893065,"100147773","TMCO1-AS1",NA,NA
"235",0.095279721,"10015","PDCD6IP",NA,NA
"236",0.006031133,"10016","PDCD6",0.077413272,"PDCD6"
"237",0.019338859,"100169752","TEX36-AS1",NA,NA
"238",0.177533394,"100169890","PEG3-AS1",NA,NA
"239",-0.011528872,"100169989","DBIL5P2",NA,NA
"240",-0.029954489,"10017","BCL2L10",NA,NA
"241",-0.132063913,"100170229","SRRM5",NA,NA
"242",-0.034562657,"100170765","ERICH4",NA,NA
"243",-0.040993281,"100170841","EPOP",NA,NA
"244",-0.027168612,"10018","BCL2L11",-0.014078139,"BCL2L11"
"245",-0.015052967,"100188893","TOMM6",NA,NA
"246",-0.073037744,"100188953","LINC00092",NA,NA
"247",0.061898479,"100189589","DCTN1-AS1",NA,NA
"248",0.064880506,"10019","SH2B3",0.167130524,"SH2B3"
"249",-0.076611811,"100190938","RAMP2-AS1",NA,NA
"250",0.044903064,"100190939","TPT1-AS1",NA,NA
"251",-0.036950482,"100192378","ZFHX4-AS1",NA,NA
"252",-0.074684962,"100192379","PP12613",NA,NA
"253",-0.081294155,"100192386","FLJ16779",NA,NA
"254",-0.044125312,"1002","CDH4",0.029448044,"CDH4"
"255",0.115354549,"10020","GNE",0.076249072,"GNE"
"256",-0.020710362,"10021","HCN4",0.05097909,"HCN4"
"257",-0.149266002,"100216545","KMT2E-AS1",NA,NA
"258",-0.026793885,"100216546","LINC01004",NA,NA
"259",-0.113269711,"10022","INSL5",NA,NA
"260",0.036526173,"10023","FRAT1",NA,NA
"261",-0.067791203,"10024","TROAP",0.00952027,"TROAP"
"262",-0.015222193,"100240728","LOC100240728",NA,NA
"263",-0.015677148,"10025","MED16",NA,NA
"264",0.075499815,"10026","PIGK",-0.038737408,"PIGK"
"265",0.054817023,"100268168","LOC100268168",NA,NA
"266",-0.041110836,"100270679","LINC01432",NA,NA
"267",0.038257579,"100270804","LINC00653",NA,NA
"268",-0.092333705,"100270972","RPL29P7",NA,NA
"269",-0.106300338,"100271043","RPL7AP29",NA,NA
"270",-0.009878164,"100271285","RPL18AP10",NA,NA
"271",-0.017531429,"100271291","RPL23AP22",NA,NA
"272",-0.066035033,"100271399","RPL7AP71",NA,NA
"273",-0.029548063,"100271722","LINC00899",NA,NA
"274",-0.035051485,"100272147","CMC4",0.050844532,"CMC4"
"275",-0.027184324,"100272217","LOC100272217",NA,NA
"276",-0.064498148,"100272228","LINC00894",NA,NA
"277",-0.069156269,"100286844","BCDIN3D-AS1",NA,NA
"278",-0.098581062,"100286922","LOC100286922",NA,NA
"279",-0.004569926,"100286925","LOC100286925",NA,NA
"280",-0.127365782,"100286938","VPS13A-AS1",NA,NA
