"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Maycox_SchizSamplingVariance","GeneSymbol"
"214",-0.108659201,"100133311","HOXA-AS3",0.00574450513657976,"HOXA-AS3"
"215",-0.038381799,"100133319","PRO1804",0.0024972726686224,"PRO1804"
"216",-0.051929137,"100133461","LINC02171",0.00214116253218278,"LINC02171"
"217",-0.051775536,"100133612","LINC01134",0.00252044873881235,"LINC01134"
"218",-0.010702385,"100133941","CD24",0.014698545517159,"CD24"
"219",-0.074303912,"100133985","LINC01816",0.00283974809600537,"LINC01816"
"220",-0.035001843,"100133991","MAP3K14-AS1",0.00137693034383664,"MAP3K14-AS1"
"221",-0.039930933,"100134229","KDM7A-DT",0.00163023422376375,"KDM7A-DT"
"222",-0.063162379,"100134259","LINC01119",0.0032052777913402,"LINC01119"
"223",-0.005526461,"100134368","LOC100134368",0.00118061918967021,"LOC100134368"
"224",-0.076684858,"100134713","NDUFB2-AS1",0.0017288445619018,"NDUFB2-AS1"
"225",0.034721262,"100137047","JMJD7",0.00237760252706241,"JMJD7"
"226",-0.066072532,"10014","HDAC5",0.00156320993338012,"HDAC5"
"227",-0.026079823,"100141515","C17orf99",0.00221047869589966,"C17orf99"
"228",0.029100034,"100144596","LINC00029",0.00244229419192619,"LINC00029"
"229",-0.028593674,"100144597","LINC01056",0.00142349954203462,"LINC01056"
"230",-0.040428224,"100144602","EPHA5-AS1",0.00720799853083926,"EPHA5-AS1"
"231",0.017677612,"100144603","CHKB-DT",0.00286182639148142,"CHKB-DT"
"232",-0.059183605,"100144604","LINC00930",0.00131646893409949,"LINC00930"
"233",-0.009730865,"100144748","KLLN",0.00295865942571766,"KLLN"
"234",-0.058893065,"100147773","TMCO1-AS1",0.00419795141918874,"TMCO1-AS1"
"235",0.095279721,"10015","PDCD6IP",0.00196987741992626,"PDCD6IP"
"236",0.006031133,"10016","PDCD6",0.00390073806506972,"PDCD6"
"237",0.019338859,"100169752","TEX36-AS1",0.000887845049362466,"TEX36-AS1"
"238",0.177533394,"100169890","PEG3-AS1",0.0214616657076411,"PEG3-AS1"
"239",-0.011528872,"100169989","DBIL5P2",0.00679619836382059,"DBIL5P2"
"240",-0.029954489,"10017","BCL2L10",0.00156317608483577,"BCL2L10"
"241",-0.132063913,"100170229","SRRM5",0.00412637298807352,"SRRM5"
"242",-0.034562657,"100170765","ERICH4",0.00139146383673296,"ERICH4"
"243",-0.040993281,"100170841","EPOP",0.00337225913237647,"EPOP"
"244",-0.027168612,"10018","BCL2L11",0.000854860444663421,"BCL2L11"
"245",-0.015052967,"100188893","TOMM6",0.00111738775012482,"TOMM6"
"246",-0.073037744,"100188953","LINC00092",0.0016255979925512,"LINC00092"
"247",0.061898479,"100189589","DCTN1-AS1",0.00598864165585043,"DCTN1-AS1"
"248",0.064880506,"10019","SH2B3",0.00435793427901417,"SH2B3"
"249",-0.076611811,"100190938","RAMP2-AS1",0.00387103460845291,"RAMP2-AS1"
"250",0.044903064,"100190939","TPT1-AS1",0.00296013934513096,"TPT1-AS1"
"251",-0.036950482,"100192378","ZFHX4-AS1",0.00381690628795859,"ZFHX4-AS1"
"252",-0.074684962,"100192379","PP12613",0.00284488858664571,"PP12613"
"253",-0.081294155,"100192386","FLJ16779",0.00594534322095285,"FLJ16779"
"254",-0.044125312,"1002","CDH4",0.00302048488286767,"CDH4"
"255",0.115354549,"10020","GNE",0.00527636273250973,"GNE"
"256",-0.020710362,"10021","HCN4",0.00136034206533764,"HCN4"
"257",-0.149266002,"100216545","KMT2E-AS1",0.0054910262497471,"KMT2E-AS1"
"258",-0.026793885,"100216546","LINC01004",0.00110086480399815,"LINC01004"
"259",-0.113269711,"10022","INSL5",0.00117682591100528,"INSL5"
"260",0.036526173,"10023","FRAT1",0.00378736598540315,"FRAT1"
"261",-0.067791203,"10024","TROAP",0.00269460797868994,"TROAP"
"262",-0.015222193,"100240728","LOC100240728",0.0016157842307845,"LOC100240728"
"263",-0.015677148,"10025","MED16",0.0019380294595441,"MED16"
"264",0.075499815,"10026","PIGK",0.00519665433342857,"PIGK"
"265",0.054817023,"100268168","LOC100268168",0.00378771121975968,"LOC100268168"
"266",-0.041110836,"100270679","LINC01432",0.00108200327355526,"LINC01432"
"267",0.038257579,"100270804","LINC00653",0.00233759716419823,"LINC00653"
"268",-0.092333705,"100270972","RPL29P7",0.00361684976600653,"RPL29P7"
"269",-0.106300338,"100271043","RPL7AP29",0.00172447426759389,"RPL7AP29"
"270",-0.009878164,"100271285","RPL18AP10",0.00186594496856725,"RPL18AP10"
"271",-0.017531429,"100271291","RPL23AP22",0.00128944381025645,"RPL23AP22"
"272",-0.066035033,"100271399","RPL7AP71",0.00154209684940263,"RPL7AP71"
"273",-0.029548063,"100271722","LINC00899",0.00109483567826999,"LINC00899"
"274",-0.035051485,"100272147","CMC4",0.00233765302718903,"CMC4"
"275",-0.027184324,"100272217","LOC100272217",0.000529396813792171,"LOC100272217"
"276",-0.064498148,"100272228","LINC00894",0.00500316657528428,"LINC00894"
"277",-0.069156269,"100286844","BCDIN3D-AS1",0.00195612863321791,"BCDIN3D-AS1"
"278",-0.098581062,"100286922","LOC100286922",0.00483796815552449,"LOC100286922"
"279",-0.004569926,"100286925","LOC100286925",0.00525731600690296,"LOC100286925"
"280",-0.127365782,"100286938","VPS13A-AS1",0.00368226932807735,"VPS13A-AS1"
"281",-0.021476759,"100287015","LOC100287015",0.00120191746732193,"LOC100287015"
"282",-0.112488066,"100287098","TONSL-AS1",0.00730138535972407,"TONSL-AS1"
"283",0.057257149,"100287114","LINC00421",0.00315382915908363,"LINC00421"
"284",-0.097242669,"100287177","EML2-AS1",0.00183997472684141,"EML2-AS1"
"285",-0.014850434,"100287216","SH3RF3-AS1",0.000972001298596293,"SH3RF3-AS1"
"286",-0.029909304,"100287227","TIPARP-AS1",0.00160975655946193,"TIPARP-AS1"
"287",-0.069515167,"100287290","LOC100287290",0.00219327261370892,"LOC100287290"
"288",-0.049387695,"100287366","OSTM1-AS1",0.00163209529518844,"OSTM1-AS1"
"289",-0.077431156,"100287387","LOC100287387",0.00134560243906503,"LOC100287387"
